Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,2,0.0571,,
NCWI,Wilmington,34.1401,-77.8936,2,0.0190,,
WIOS,Oshkosh,44.0324,-88.5825,2,0.0221,,
WASP,Spokane,47.7151,-117.4112,2,0.0148,,
TXBN,Burnet County,30.7514,-98.2750,2,0.0275,,
OKNO,Norman,35.2655,-97.3767,2,0.0435,,
TNKN,Knoxville,35.9136,-84.0796,2,0.0211,,
NJCM,Cape May,39.0123,-74.8778,1,0.0056,,
IADU,Dubuque,42.4912,-90.7114,1,0.0185,,
CAWS,Western Sonoma County,38.3853,-123.0306,1,0.0053,,
TXMC,Mckinney,33.1585,-96.6154,1,0.0175,,
SCMC,McClellanville,33.1003,-79.4037,1,0.0130,,
ILSP,Springfield,39.8000,-89.6500,1,0.0154,,
ORRS,Roseburg-Sutherlin,43.3177,-123.3473,1,0.0118,,
BCPM,Pitt Meadows,49.2839,-122.6729,1,0.0117,,
TNKI,Kingsport,36.5000,-82.5167,1,0.0213,,
CALP,Lone Pine,36.5667,-118.1167,1,0.0417,,
ILCU,Chicago (urban),41.9099,-87.7263,1,0.0110,,
MIRO,Rockwood,42.0684,-83.2499,1,0.0102,,
ONLO,London,42.9536,-81.3109,1,0.0065,,
SDRC,Rapid City,44.0769,-103.2472,1,0.0141,,
OKOC,Oklahoma City,35.5368,-97.5834,1,0.0093,,
MSSH,Southern Hancock County,30.2906,-89.5034,1,0.0196,,
MAGB,Greater Boston,42.3973,-71.0955,1,0.0023,,
ILEN,Evanston (north shore),42.1379,-87.7882,1,0.0062,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,1,0.0043,,
ABCA,Calgary,51.0510,-114.0848,1,0.0102,,
NMCC,Carlsbad Caverns N.P.,32.1772,-104.5029,1,0.0286,,
SCHH,Hilton Head Island,32.2000,-80.7500,1,0.0060,,
GADU,Dublin,32.6297,-82.9239,1,0.1111,,
INWH,Whitewater S.P.,39.5909,-84.9936,1,0.0351,,
MDCM,Catoctin Mountain,39.6195,-77.4095,1,0.0147,,
COLO,Longmont,40.1741,-105.1734,1,0.0096,,
MIAB,Anchor Bay,42.6273,-82.6647,1,0.0129,,
LASH,Shreveport,32.5371,-93.8922,1,0.0141,,
CASP,Springville,36.1338,-118.8130,1,0.0075,,
NYSM,L.I.: Smithtown,40.9133,-73.1386,1,0.0213,,
AZPO,Portal,31.9009,-109.1364,1,0.0076,,
ILIL,Illini S.P.,41.3170,-88.6957,1,0.0351,,
FLJA,Jacksonville,30.4152,-81.4877,1,0.0076,,
IAIC,Iowa City,41.7522,-91.6076,1,0.0182,,
ILFB,Fermilab-Batavia,41.8605,-88.2628,1,0.0092,,
OHGY,Gypsum,41.5000,-82.8667,1,0.0250,,
MNAS,Austin,43.6628,-92.9699,1,0.0230,,
IDBO,Boise,43.6177,-116.1995,1,0.0156,,
TX25,Buffalo Bayou,29.7500,-95.5500,1,0.0192,,
WALP,Leadbetter Point,46.5605,-123.9894,1,0.0208,,
TNME,Memphis,35.1500,-89.9333,1,0.0078,,
ILHL,Horseshoe Lake,37.2089,-89.3311,1,0.0196,,
RISK,South Kingstown,41.4295,-71.5588,1,0.0116,,
COCS,Colorado Springs,38.8022,-104.8167,1,0.0082,,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,1,0.0149,,
TXBE,Beech Creek,30.7667,-94.2000,1,0.1250,,
MDSD,Southern Dorchester County,38.3617,-76.0371,cw,0.0000,,
FLSP,St. Petersburg,27.7991,-82.6794,cw,0.0000,,
MSJC,Jackson County,30.4366,-88.7119,cw,0.0000,,
NMLC,Las Cruces,32.3000,-106.7167,cw,0.0000,,
ILCO,Crab Orchard N.W.R.,37.7196,-89.0212,cw,0.0000,,

