,�..Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
56,CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,796,4.7522,1980,#N/A
57,TXAR,Aransas N.W.R.,28.2333,-96.8833,769,10.4626,1980,#N/A
58,CAHL,Honey Lake,40.3434,-120.4229,715,10.3623,1980,#N/A
59,CAMR,Morro Bay,35.3,-120.7767,694,2.8443,1980,#N/A
60,WASD,Sequim-Dungeness,48.1,-123.0667,682,8.7436,1980,#N/A
61,CASS,Salton Sea (south),33.1579,-115.6132,635,9.9219,1980,#N/A
62,TX2B,Cypress Creek,29.9167,-95.75,635,6.35,1980,#N/A
63,UTBR,Bear River Migratory Bird Refuge,41.4804,-112.2675,632,39.5,1980,#N/A
64,TXSG,San Angelo,31.4439,-100.4823,627,14.5814,1980,#N/A
65,FLCO,Cocoa,28.3622,-80.7026,627,4.0452,1980,#N/A
66,IDAF,American Falls Reservoir,42.9833,-112.7,625,29.0698,1980,#N/A
67,TX2D,Sabine Lake,30.0167,-93.85,600,11.3208,1980,#N/A
68,ALWH,Wheeler N.W.R.,34.6001,-86.8837,597,4.975,1980,#N/A
69,TX0T,Buffalo Lake N.W.R.,34.8667,-102.1333,575,35.9375,1980,#N/A
70,CAGM,Grass Mountain,34.6333,-118.4167,572,28.6,1980,#N/A
71,LA0D,Venice,29.3,-89.3833,550,22.9167,1980,#N/A
72,VAHO,Hopewell,37.367,-77.2842,525,5.4124,1980,#N/A
73,CADN,Del Norte County,41.8446,-124.1712,518,3.0029,1980,#N/A
74,BCCO,Comox,49.6726,-124.9287,514,4.9423,1980,#N/A
75,CACO,Chico,39.722,-121.8238,513,5.5161,1980,#N/A
76,WAGH,Grays Harbor,46.9667,-124.05,436,2.9966,1980,#N/A
77,CAMD,Moss Landing,36.897,-121.7407,433,1.8867,1980,#N/A
78,CATO,Thousand Oaks,34.1489,-118.9699,423,5.4935,1980,#N/A
79,NY2R,Lower Hudson,40.7667,-73.9833,403,2.1551,1980,#N/A
80,CA01,Butte Valley,41.85,-122,402,7.6571,1980,#N/A
81,FLSM,St. Marks,30.1536,-84.2227,400,2.8169,1980,#N/A
82,KS0Q,Parsons,37.4333,-95.2333,400,33.3333,1980,#N/A
83,ORTB,Tillamook Bay,45.5167,-123.8833,399,4.6395,1980,#N/A
84,BCVI,Victoria,48.4667,-123.4,383,1.8238,1980,#N/A
85,CAAA,Auburn,38.9758,-121.1438,380,2.8788,1980,#N/A
86,BCPM,Pitt Meadows,49.2839,-122.6729,357,2.9627,1980,#N/A
87,CA2K,Arroyo Cheap Thrills,38.1333,-122.6167,347,2.776,1980,#N/A
88,TXBS,Big Spring,32.2391,-101.4162,334,13.9167,1980,#N/A
89,CARS,Rancho Santa Fe,33.0003,-117.1628,329,6.451,1980,#N/A
90,WAPT,Port Townsend,48.05,-122.7333,325,7.2222,1980,#N/A
91,WATA,Tacoma,47.2335,-122.5167,322,2.7059,1980,#N/A
92,CAWS,Western Sonoma County,38.3853,-123.0306,315,1.5687,1980,#N/A
93,ORKF,Klamath Falls,42.1595,-121.7351,308,3.5814,1980,#N/A
94,TXLE,Lake Meredith (east),35.6833,-101.6167,307,29.2381,1980,#N/A
95,DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,302,3.775,1980,#N/A
96,FLSC,Sanibel-Captiva,26.4594,-82.1567,300,3.75,1980,#N/A
97,TXKI,Kingsville,27.4658,-97.8551,293,8.3714,1980,#N/A
98,WAOL,Olympia,47.0722,-122.8533,282,1.9184,1980,#N/A
99,TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,272,3.4214,1980,#N/A
100,VACC,Cape Charles,37.1899,-75.941,271,1.9496,1980,#N/A
101,CAOR,Oroville,39.5178,-121.5499,258,7.5219,1980,#N/A
102,CABB,Big Bear Lake,34.2833,-116.9,250,2.7174,1980,#N/A
103,NMLV,Las Vegas,35.595,-105.2152,248,24.8,1980,#N/A
104,COBO,Boulder,40.0256,-105.2725,243,1.0705,1980,#N/A
105,LAPP,Pine Prairie,30.7643,-92.3765,242,3.9032,1980,#N/A
106,TXBP,Bolivar Peninsula,29.5504,-94.4668,237,3.8226,1980,#N/A
107,CACC,Contra Costa County,37.9538,-121.9923,235,2.5,1980,#N/A
108,TXCC,Corpus Christi,27.8334,-97.5833,233,2.2404,1980,#N/A
109,OREU,Eugene,44.0768,-123.179,225,1.3393,1980,#N/A
110,BCDU,Duncan,48.7882,-123.6714,223,3.7167,1980,#N/A
111,TXSN,Stanton,32.0833,-101.7,213,9.6818,1980,#N/A
112,TXMI,Midland,31.95,-102.0333,208,7.4286,1980,#N/A
113,CA1D,San Antonio Lake,35.85,-120.9667,205,5.125,1980,#N/A
114,ORPO,Port Orford,42.8196,-124.4828,197,3.5495,1980,#N/A
115,IDIF,Idaho Falls,43.5172,-112.0596,197,4.4773,1980,#N/A
116,LAJB,Johnsons Bayou,29.801,-93.7149,190,3.7773,1980,#N/A
117,CALN,Lancaster,34.7043,-118.086,185,3.3636,1980,#N/A
118,CA0Y,Ventura,34.3,-119.25,183,3,1980,#N/A
119,TXWW,Welder Wildlife Refuge,28.1136,-97.4171,181,1.6606,1980,#N/A
120,COBR,Bonny Reservoir,39.6307,-102.1845,175,3.0702,1980,#N/A
121,TXLS,La Sal Vieja,26.4849,-97.9649,166,3.0182,1980,#N/A
122,HIWO,O'ahu: Waipi'o,21.4618,-158.0128,163,3.6222,1980,#N/A
123,NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,162,1.1655,1980,#N/A
124,WA0M,Everett,48.15,-122.2333,162,2.7504,1980,#N/A
125,MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,160,8,1980,#N/A
126,TXBA,Balmorhea,30.9858,-103.7459,159,4.9688,1980,#N/A
127,ORYB,Yaquina Bay,44.5866,-124.0642,158,3.7176,1980,#N/A
128,NYQU,L.I.: Queens,40.6932,-73.7448,151,1.8875,1980,#N/A
129,CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,134,1.3535,1980,#N/A
130,TXST,San Antonio,29.3148,-98.608,133,1.2488,1980,#N/A
131,MXPP,"Puerto Penasco, Sonora, Mexico",31.3501,-113.5167,129,2.3455,1980,#N/A
132,CASJ,San Jose,37.4033,-121.8821,128,0.3935,1980,#N/A
133,CALH,Lake Henshaw,33.2112,-116.7255,126,1.25,1980,#N/A
134,CASV,San Fernando Valley,34.2358,-118.5025,123,3.5652,1980,#N/A
135,CAWB,Wallace-Bellota,38.1167,-120.9833,122,2.44,1980,#N/A
136,HILI,Kaua'i: Lihu'e,21.9667,-159.4333,120,2.9268,1980,#N/A
137,TN0G,Lebanon,36.25,-86.3667,115,4.3396,1980,#N/A
138,CASB,Santa Barbara,34.4512,-119.7627,109,0.3141,1980,#N/A
139,CAAG,Angwin,38.5715,-122.3977,107,1.4267,1980,#N/A
140,TXSA,Santa Ana N.W.R.,26.1492,-98.1917,105,1.4189,1980,#N/A
141,AZMY,Martinez Lake-Yuma,32.8884,-114.4623,104,1.1064,1980,#N/A
142,FLMR,Myakka River S.P.,27.233,-82.236,103,1.241,1980,#N/A
143,COMV,Monte Vista N.W.R.,37.497,-106.0461,100,11.7647,1980,#N/A
144,OK0E,Sequoyah N.W.R.,35.4333,-95.0167,100,2.9412,1980,#N/A
145,TNHI,Hiwassee,35.3655,-84.92,97,1.7798,1980,#N/A
146,ORCE,Columbia Estuary,46.2192,-123.9461,96,1.7143,1980,#N/A
147,ORPD,Portland,45.5167,-122.7,90,1.2857,1980,#N/A
148,SCMC,McClellanville,33.1003,-79.4037,87,1,1980,#N/A
149,CAKR,Kern River Valley,35.6625,-118.4588,87,0.6127,1980,#N/A
150,NJBA,Barnegat,39.6667,-74.1667,83,0.8469,1980,#N/A
151,TXAU,Austin,30.1834,-97.698,83,0.4019,1980,#N/A
152,CASR,Santa Rosa,38.4379,-122.7116,82,0.8367,1980,#N/A
153,NCWI,Wilmington,34.1401,-77.8936,82,1.1007,1980,#N/A
154,TNRL,Reelfoot Lake,36.4167,-89.3833,80,2.5,1980,#N/A
155,TXRU,Ruidosa,29.95,-104.6667,78,3.5455,1980,#N/A
156,CACM,Claremont,34.1384,-117.7073,77,0.837,1980,#N/A
157,LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,76,0.8172,1980,#N/A
158,NM0G,Thoreau-Bluewater Lake,35.3,-108.2167,75,0.9868,1980,#N/A
159,PAGL,Delaware County (Glenolden),39.8992,-75.3729,74,0.4134,1980,#N/A
160,FLNA,Naples,26.1278,-81.7645,73,0.8439,1980,#N/A
161,CALR,Lake Almanor,40.2833,-121.25,68,1.0968,1980,#N/A
162,NVRL,Ruby Lake,40.2,-115.5,66,1.9412,1980,#N/A
163,FLTA,Tampa,28.0107,-82.4595,65,0.5909,1980,#N/A
164,NMFA,Farmington,36.7833,-108.102,65,1.625,1980,#N/A
165,CAPP,Palos Verdes Peninsula,33.7723,-118.3279,64,0.4912,1980,#N/A
166,ILCA,Chautauqua N.W.R.,40.4167,-89.95,56,1.0646,1980,#N/A
167,TX2Y,Lake Livingston (upper),30.8667,-95.3167,55,1.2702,1980,#N/A
168,DCDC,Washington,38.8674,-77.0685,53,0.2031,1980,#N/A
169,NMLA,Lakes Avalon-Brantley,32.5661,-104.294,53,1.4722,1980,#N/A
170,TX2V,Davis Mountains,30.6833,-103.9,52,1.3684,1980,#N/A
171,ARLO,Lonoke,34.749,-91.8957,51,1.0515,1980,#N/A
172,CAON,Orange County (northeastern),33.7145,-117.6776,51,0.2476,1980,#N/A
173,ARWR,White River N.W.R.,34.3146,-91.121,50,1.5106,1980,#N/A
174,ILQU,Quincy,39.9318,-91.3965,50,0.7813,1980,#N/A
175,TXMU,Muleshoe N.W.R.,33.9563,-102.7783,50,3.4483,1980,#N/A
176,NYBU,Buffalo,43.0016,-78.9651,47,0.3298,1980,#N/A
177,MSJA,Jackson,32.4476,-90.004,45,0.5696,1980,#N/A
178,IDNA,Nampa,43.568,-116.6729,43,0.5636,1980,#N/A
179,AZ11,Nogales,31.3833,-110.9167,43,0.2457,1980,#N/A
180,UTOG,Ogden,41.2198,-112.064,42,0.503,1980,#N/A
181,NYCS,L.I.: Central Suffolk County,40.8333,-72.7838,41,0.2169,1980,#N/A
182,NJCC,Cumberland County,39.3325,-75.2004,40,0.3604,1980,#N/A
183,CODE,Denver,39.587,-105.143,38,0.1831,1980,#N/A
184,TXOR,Old River,29.8776,-94.7263,38,0.5672,1980,#N/A
185,CALW,LaGrange-Waterford,37.6531,-120.5876,37,0.8222,1980,#N/A
186,TX07,Abilene,32.35,-99.7667,37,1.2542,1980,#N/A
187,LA0P,New Orleans,29.9667,-89.9833,37,0.4684,1980,#N/A
188,CA1B,China Lake,35.6167,-117.6667,36,1.125,1980,#N/A
189,WATC,Tri-Cities,46.2357,-119.1805,36,0.6429,1980,#N/A
190,TXBO,Boerne,29.8666,-98.7901,34,0.2595,1980,#N/A
191,BC0F,Squamish,49.7167,-123.1333,33,0.55,1980,#N/A
192,MS0D,Grenada,33.8333,-89.75,33,0.5593,1980,#N/A
193,BCSD,Sayward,50.3667,-125.9167,32,4,1980,#N/A
194,CASC,Santa Cruz County,37.0162,-122.0499,32,0.2148,1980,#N/A
195,AZ0L,Phoenix,33.4833,-112.25,31,0.189,1980,#N/A
196,NYSM,L.I.: Smithtown,40.9133,-73.1386,30,0.6122,1980,#N/A
197,ONHA,Hamilton,43.2679,-79.8852,30,0.1613,1980,#N/A
198,MS09,Noxubee N.W.R.,33.2833,-88.7833,29,0.6042,1980,#N/A
199,MACC,Cape Cod,41.7207,-69.9968,29,0.3187,1980,#N/A
200,CAMN,Manchester,39.0347,-123.6897,28,0.3733,1980,#N/A
201,TX0N,Hagerman N.W.R.,33.7167,-96.7333,28,0.3905,1980,#N/A
202,ALEU,Eufaula N.W.R.,31.9939,-85.0886,28,0.8116,1980,#N/A
203,WYJH,Jackson Hole,43.5742,-110.7332,28,0.3457,1980,#N/A
204,FL0V,South Brevard County,27.8667,-80.5667,27,0.2842,1980,#N/A
205,TX23,Palmetto S.P.,29.6,-97.5833,26,0.3444,1980,#N/A
206,NYNN,L.I.: Northern Nassau County,40.866,-73.5938,26,0.0946,1980,#N/A
207,MSSL,Sardis Lake,34.47,-89.7222,26,0.4127,1980,#N/A
208,NYMK,L.I.: Montauk,41.05,-72,25,0.2066,1980,#N/A
209,KS16,Linn County,38.1833,-94.7667,25,1.25,1980,#N/A
210,OHFI,Firelands,41.3348,-82.5577,24,0.4444,1980,#N/A
211,AR07,Pine Bluff,34.2167,-92,23,0.3129,1980,#N/A
212,LANA,Natchitoches,31.824,-93.0635,23,0.9583,1980,#N/A
213,ORUT,Utopia,44.4821,-121.1937,21,0.4884,1980,#N/A
214,DEMI,Middletown,39.4753,-75.6347,20,0.2985,1980,#N/A
215,ILHL,Horseshoe Lake,37.2089,-89.3311,20,0.4396,1980,#N/A
216,IDRE,Rexburg,43.7973,-111.8578,20,0.9524,1980,#N/A
217,TXFW,Fort Worth,32.7661,-97.4715,20,0.267,1980,#N/A
218,BCNN,Nanaimo,49.1668,-123.9333,19,0.4176,1980,#N/A
219,ORBA,Baker,44.8619,-117.8392,18,1.125,1980,#N/A
220,TXFD,Falcon Dam and S.P.,26.4967,-99.0884,18,0.3429,1980,#N/A
221,FLHC,Hamilton County,30.336,-82.7595,18,0.8571,1980,#N/A
222,MDOC,Ocean City,38.3128,-75.2122,17,0.1164,1980,#N/A
223,VAWP,Wachapreague,37.6707,-75.6998,17,0.3542,1980,#N/A
224,MDSA,Salisbury,38.3333,-75.7333,16,0.1553,1980,#N/A
225,TXGA,Galveston,29.3333,-94.8333,16,0.0777,1980,#N/A
226,CAMH,Mount Hamilton,37.3719,-121.5228,15,0.1887,1980,#N/A
227,NJAS,Assunpink,40.16,-74.4242,15,0.1875,1980,#N/A
228,WAKC,Kitsap County,47.6323,-122.6609,15,0.1667,1980,#N/A
229,CASG,Santa Maria-Guadalupe,34.8833,-120.5833,15,0.1685,1980,#N/A
230,NJMA,Marmora,39.2647,-74.6472,14,0.2029,1980,#N/A
231,CALA,Los Angeles,34.0477,-118.3793,14,0.0698,1980,#N/A
232,NY3G,Bronx-Westchester Region,40.9,-73.7833,13,0.0637,1980,#N/A
233,MOMI,Mingo N.W.R.,36.9833,-90.2,13,0.3939,1980,#N/A
234,CO12,Hotchkiss,38.7667,-107.7333,13,0.4063,1980,#N/A
235,MAMV,Martha's Vineyard,41.3571,-70.5207,12,0.1481,1980,#N/A
236,TXLV,Lewisville,33.0301,-96.9929,12,0.1587,1980,#N/A
237,ORWC,Wallowa County,45.3748,-117.2009,12,0.2727,1980,#N/A
238,TXCA,Caddo National Grasslands,33.7405,-96.0024,12,0.5581,1980,#N/A
239,CAMM,Mammoth Lakes,37.6333,-118.8667,11,0.6667,1980,#N/A
240,TXDA,Dallas County,32.8258,-96.8312,11,0.0587,1980,#N/A
241,NYBR,L.I.: Brooklyn,40.616,-73.9448,11,0.117,1980,#N/A
242,RINC,Newport County-Westport,41.5369,-71.1566,11,0.1196,1980,#N/A
243,NJCM,Cape May,39.0123,-74.8778,11,0.0598,1980,#N/A
244,IA1B,DeSoto N.W.R.,41.55,-96.0333,11,0.275,1980,#N/A
245,CAMU,Malibu,34.0822,-118.7045,10,0.0543,1980,#N/A
246,AL0S,Mobile,30.6667,-88.0667,10,0.1923,1980,#N/A
247,CALL,Lost Lake-Fresno,36.95,-119.7,10,0.0682,1980,#N/A
248,DERE,Rehoboth,38.6035,-75.1073,10,0.1706,1980,#N/A
249,AZFL,Flagstaff-Mt. Elden,35.241,-111.5976,10,0.5556,1980,#N/A
250,MSWC,Washington County (south),33.097,-90.9857,10,0.137,1980,#N/A
251,MOML,Montrose Lake Wildlife Area,38.2521,-93.8217,10,0.1538,1980,#N/A
252,PAPV,Pennypack Valley,40.066,-75.0412,10,0.2273,1980,#N/A
253,OKWM,Wichita Mountains Wildlife Refuge,34.7333,-98.6667,10,0.2083,1980,#N/A
254,BC0A,Deep Bay,49.4667,-124.7333,10,0.241,1980,#N/A
255,AZPR,Prescott,34.5419,-112.4701,9,0.0529,1980,#N/A
256,ONOW,Oshawa,43.9085,-78.8141,9,0.1,1980,#N/A
257,NYQW,L.I.: Quogue-Watermill,40.8591,-72.4524,9,0.12,1980,#N/A
258,CACL,Clear Lake,38.9392,-122.7199,9,0.125,1980,#N/A
259,TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,9,0.1915,1980,#N/A
260,TX2M,Lake Conroe,30.45,-95.6333,9,0.1304,1980,#N/A
261,KSDC,Dodge City,37.7777,-100.01,9,0.3158,1980,#N/A
262,MTWS,Warm Springs,46.2008,-112.859,9,0.5,1980,#N/A
263,IASH,Shenandoah,40.7211,-95.4809,9,0.2663,1980,#N/A
264,CTOL,Old Lyme-Saybrook,41.2924,-72.427,8,0.0658,1980,#N/A
265,CAMP,Monterey Peninsula,36.562,-121.8776,8,0.0473,1980,#N/A
266,NYCA,L.I.: Captree,40.7038,-73.2493,8,0.0552,1980,#N/A
267,INMT,Muscatatuck N.W.R.,38.9594,-85.7983,8,0.1818,1980,#N/A
268,OKSC,Stephens County,34.5667,-97.7833,8,0.1739,1980,#N/A
269,TNKI,Kingsport,36.5,-82.5167,8,0.1333,1980,#N/A
270,SCHH,Hilton Head Island,32.2,-80.75,7,0.0551,1980,#N/A
271,FLCE,Coot Bay-Everglades N.P.,25.141,-80.9582,7,0.068,1980,#N/A
272,COFC,Fort Collins,40.6454,-105.1141,7,0.0787,1980,#N/A
273,NJOC,Oceanville,39.4422,-74.4605,7,0.0588,1980,#N/A
274,MANA,Nantucket,41.2901,-70.0901,7,0.0795,1980,#N/A
275,COPU,Pueblo,38.1753,-104.5196,7,0.7368,1980,#N/A
276,MAPL,Plymouth,41.8733,-70.6012,7,0.1014,1980,#N/A
277,AZPA,Patagonia,31.4833,-110.6833,7,0.0778,1980,#N/A
278,CAWO,Woodfords,38.7662,-119.8082,6,0.1395,1980,#N/A
279,RISK,South Kingstown,41.4295,-71.5588,6,0.0896,1980,#N/A
280,ORUN,Upper Nestucca,45.2662,-123.5807,6,0.15,1980,#N/A
281,DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,6,0.0968,1980,#N/A
282,KSQU,Quivira N.W.R.,38.15,-98.4833,6,0.3,1980,#N/A
283,TXEP,El Paso,31.7828,-106.4798,6,0.1053,1980,#N/A
284,OKTU,Tulsa,36.3221,-95.9022,6,0.0583,1980,#N/A
285,PASL,Southern Lancaster County,39.8172,-76.1698,6,0.0404,1980,#N/A
286,SCSR,Savannah River Site,33.2,-81.6167,6,0.1043,1980,#N/A
287,ORMA,Malheur N.W.R.,42.8998,-118.8798,6,0.1622,1980,#N/A
288,SCLP,Litchfield-Pawleys Island,33.4908,-79.0904,6,0.0833,1980,#N/A
289,ILCS,Crane Lake-Sangamon,40.1233,-90.2323,6,0.15,1980,#N/A
290,IDRU,Rupert,42.6167,-113.65,6,0.6667,1980,#N/A
291,TX06,Colorado City,32.2833,-100.8833,5,0.1667,1980,#N/A
292,OKTI,Tishomingo N.W.R.,34.1833,-96.65,5,0.1613,1980,#N/A
293,TXAM,Amarillo,34.9851,-101.7021,5,0.1524,1980,#N/A
294,NCRK,Roanoke Rapids,36.4025,-77.5651,5,0.1587,1980,#N/A
295,VALA,Lake Anna,38.085,-77.8139,5,0.1225,1980,#N/A
296,ILPM,Pere Marquette Park,38.9968,-90.6051,5,0.0543,1980,#N/A
297,UTKA,Kanab,37.0334,-112.5167,5,0.0833,1980,#N/A
298,ILMW,Morris-Wilmington,41.3034,-88.3016,4,0.0784,1980,#N/A
299,AZRC,Ramsey Canyon,31.4599,-110.2068,4,0.0346,1980,#N/A
300,GAOK,Okefenokee N.W.R.,30.8001,-82.1333,4,0.125,1980,#N/A
301,FLWV,West Volusia County,29.0543,-81.3039,4,0.1031,1980,#N/A
302,FLFP,Fort Pierce,27.4177,-80.3828,4,0.037,1980,#N/A
303,FLJA,Jacksonville,30.4152,-81.4877,4,0.0282,1980,#N/A
304,MACA,Cape Ann,42.6112,-70.73,4,0.0336,1980,#N/A
305,OHCL,Cleveland,41.5723,-81.5039,4,0.0289,1980,#N/A
306,COGJ,Grand Junction,39.1208,-108.6081,4,0.0343,1980,#N/A
307,CA2F,Mount Shasta,41.4667,-122.35,4,0.0503,1980,#N/A
308,AZ16,Green Valley-Madera Canyon,31.8,-110.9,4,0.0417,1980,#N/A
309,OHOT,Ottawa N.W.R.,41.6114,-83.2006,4,0.2759,1980,#N/A
310,TX09,Lake Thomas,32.5833,-101.1667,4,0.25,1980,#N/A
311,ARME,Mena,34.5833,-94.2333,4,0.1201,1980,#N/A
312,MEMJ,Moose Island-Jonesport,44.5377,-67.6491,4,0.0597,1980,#N/A
313,ARAR,Arkadelphia,34.1333,-93.05,4,0.0482,1980,#N/A
314,NJLB,Long Branch,40.2502,-74.0554,4,0.0404,1980,#N/A
315,COGR,Greeley,40.3936,-104.6801,4,0.0692,1980,#N/A
316,NCWS,Winston-Salem,36.084,-80.3067,4,0.0533,1980,#N/A
317,MDBO,Bowie,38.9927,-76.7852,4,0.0126,1980,#N/A
318,AZTV,Tucson Valley,32.3016,-110.9735,4,0.0199,1980,#N/A
319,AKJU,Juneau,58.3167,-134.55,4,0.2,1980,#N/A
320,AKGB,Glacier Bay,58.4506,-135.8721,4,0.1818,1980,#N/A
321,NCCB,Central Beaufort County,35.4719,-76.9344,4,0.0588,1980,#N/A
322,OKOC,Oklahoma City,35.5368,-97.5834,4,0.0396,1980,#N/A
323,NJSH,Sandy Hook,40.47,-74.0031,4,0.0488,1980,#N/A
324,ILCU,Chicago (urban),41.9099,-87.7263,4,0.0656,1980,#N/A
325,NVTM,Truckee Meadows,39.4679,-119.8205,3,0.0682,1980,#N/A
326,SDRC,Rapid City,44.0769,-103.2472,3,0.0361,1980,#N/A
327,ONPE,Prince Edward Point,44.0031,-76.9621,3,0.0556,1980,#N/A
328,TXQU,Quitaque,34.4346,-101.0739,3,0.1935,1980,#N/A
329,NE0K,Grande Isle,40.8167,-98.3833,3,0.1304,1980,#N/A
330,FLWP,West Palm Beach,26.5672,-80.127,3,0.0233,1980,#N/A
331,MDST,St. Michaels,38.7506,-76.2531,3,0.0264,1980,#N/A
332,INLM,Lake Monroe,39.0152,-86.3984,3,0.0422,1980,#N/A
333,AR06,Lake Millwood,33.75,-94.05,3,0.1176,1980,#N/A
334,GAAL,Atlanta,33.9667,-84.6667,3,0.0181,1980,#N/A
335,CA1H,Whitmore,40.65,-121.95,3,0.0706,1980,#N/A
336,OHHR,Hoover Reservoir,40.1905,-82.9412,3,0.0536,1980,#N/A
337,ILJO,Joliet,41.5113,-88.1244,3,0.05,1980,#N/A
338,GAHN,Harris Neck N.W.R.,31.6837,-81.294,3,0.0556,1980,#N/A
339,ME0Y,Bath-Phippsburg-Georgetown-Woolwich,43.8,-69.7833,3,0.0385,1980,#N/A
340,FLBO,Brooksville,28.548,-82.3245,3,0.0429,1980,#N/A
341,OR04,Sod House,43.2,-118.9167,3,0.0811,1980,#N/A
